Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Brian Scalabrine,33.0,9.7,0.5379999999999999,1.5,0.343,4.8,0.77,6.1,2.7,1.0,0.9,3.4,2.7,15.7,0,1,0
Alize Johnson,30.7,7.5,0.523,3.8,0.325,4.6,0.716,11.1,2.4,0.5,0.3,2.3,2.3,14.9,0,1,0
Darius Miller,24.9,3.5,0.509,3.0,0.379,1.5,0.815,3.2,1.8,0.8,0.7,1.4,2.3,8.2,0,1,0
Henry Ellenson,33.5,10.0,0.495,3.2,0.28800000000000003,5.8,0.7490000000000001,9.7,1.8,0.8,1.5,2.4,2.5,17.0,0,1,0
Rodney White,30.9,10.4,0.5329999999999999,3.4,0.34700000000000003,5.7,0.713,6.5,1.5,1.2,0.7,2.9,2.6,18.7,0,1,0
Doron Lamb,29.8,5.0,0.4920000000000001,3.9,0.475,3.2,0.8109999999999999,2.3,1.6,0.5,0.1,1.2,2.0,13.1,0,0,1
Austin Rivers,33.2,7.1,0.477,4.7,0.365,5.4,0.6579999999999999,3.4,2.1,1.0,0.0,2.3,2.2,15.5,0,0,1
Ben McLemore,32.2,6.1,0.5529999999999999,4.7,0.42,3.7,0.87,5.2,2.0,1.0,0.7,2.1,1.9,15.9,0,0,1
Sam Dekker,27.9,5.3,0.591,3.6,0.348,2.8,0.695,5.0,1.3,0.6,0.5,1.0,1.2,12.1,0,1,0
Devin Harris,35.0,5.0,0.522,5.2,0.375,4.8,0.778,4.1,3.1,1.7,0.4,1.8,2.1,14.8,1,0,1
Darrell Arthur,21.9,8.5,0.552,0.2,0.118,2.7,0.6759999999999999,5.5,0.6,0.7,1.4,1.6,2.8,11.3,0,1,0
Von Wafer,21.6,3.8,0.457,4.9,0.365,1.9,0.669,2.2,1.4,0.9,0.2,1.4,1.4,10.1,0,0,1
Carlos Boozer,25.9,8.7,0.632,0.0,0.0,5.3,0.741,7.2,1.1,1.0,0.7,1.6,2.9,14.9,1,1,0
Patrick Beverley,34.1,4.6,0.463,5.2,0.382,3.9,0.73,5.5,2.8,1.5,0.4,2.0,2.3,13.0,0,0,1
Terry Rozier,26.8,6.8,0.447,3.5,0.331,3.1,0.772,4.3,2.4,1.5,0.1,1.4,1.6,12.0,0,0,1
Mitch McGary,20.6,5.9,0.5920000000000001,0.0,0.0,1.6,0.513,6.6,0.8,1.2,0.7,1.3,2.5,7.8,0,1,0
Anthony Randolph,32.8,12.1,0.483,0.6,0.105,5.4,0.693,8.5,1.2,1.1,2.3,3.0,2.7,15.6,0,1,0
Jeff Trepagnier,31.3,6.7,0.521,1.9,0.298,2.9,0.659,5.2,1.4,1.9,1.0,2.0,2.1,10.6,0,0,1
Luke Jackson,29.1,7.7,0.488,3.4,0.402,4.7,0.8490000000000001,5.9,3.4,1.3,0.3,2.3,1.8,15.6,1,1,0
Channing Frye,27.7,9.3,0.568,0.2,0.261,3.7,0.759,7.3,1.3,0.6,1.9,1.4,2.8,13.5,0,0,0
Julius Randle,30.8,9.3,0.517,0.5,0.16699999999999998,7.2,0.706,10.4,1.4,0.5,0.8,2.5,2.3,15.0,0,1,0
Bracey Wright,35.7,7.4,0.451,6.3,0.35,5.7,0.7759999999999999,5.1,2.4,0.9,0.6,2.3,1.8,17.6,0,0,1
Taurean Green,29.2,2.8,0.419,4.3,0.389,3.7,0.857,2.2,3.6,1.1,0.1,2.5,1.6,10.6,0,0,1
Mikal Bridges,27.3,3.8,0.645,3.7,0.4,2.3,0.845,4.3,1.6,1.4,0.9,1.1,2.2,11.3,0,0,1
Carrick Felix,27.9,4.7,0.545,3.2,0.326,2.6,0.7040000000000001,4.8,1.3,1.0,0.8,1.7,2.4,10.2,0,0,1
Kris Humphries,34.1,15.4,0.455,1.7,0.34,7.9,0.742,10.1,0.7,0.9,1.1,2.8,2.2,21.7,0,1,0
A.J. Price,29.4,6.1,0.447,4.4,0.365,3.7,0.722,3.4,4.7,1.1,0.1,2.4,1.4,13.0,0,0,1
Doug McDermott,31.5,10.2,0.5870000000000001,4.1,0.458,4.9,0.831,7.5,1.3,0.2,0.1,2.2,1.8,21.7,0,1,0
OG Anunoby,17.4,3.3,0.652,1.5,0.365,1.8,0.522,3.5,0.8,1.0,0.9,1.1,1.7,6.8,0,1,0
Grant Jerrett,17.8,2.2,0.413,2.3,0.405,0.6,0.818,3.6,0.5,0.5,1.0,0.6,1.3,5.2,0,1,0
Jordan McRae,27.1,5.9,0.475,4.6,0.343,4.0,0.769,3.3,1.8,0.6,0.9,2.0,1.9,13.3,0,0,1
Josh Hart,28.0,5.4,0.5920000000000001,3.6,0.389,3.4,0.72,5.6,1.8,1.1,0.3,1.3,2.2,13.2,0,0,1
George Hill,33.3,8.3,0.565,2.3,0.404,6.1,0.785,5.8,3.3,1.6,0.3,2.5,2.8,17.0,0,0,1
Jon Leuer,22.8,6.5,0.521,2.2,0.368,2.7,0.723,4.5,1.1,0.4,0.7,1.2,1.6,11.2,0,1,0
Jason Smith,27.9,9.3,0.556,0.3,0.308,5.5,0.7509999999999999,7.9,2.0,0.5,1.7,3.1,3.3,14.7,0,1,0
Dominique Jones,36.5,8.9,0.512,5.2,0.32299999999999995,6.5,0.737,5.4,3.5,1.5,0.4,2.6,2.6,18.9,0,0,1
R.J. Hunter,34.7,6.1,0.505,7.2,0.354,5.3,0.853,4.8,2.4,1.9,0.9,1.7,2.2,18.4,0,0,1
David Lee,25.0,7.3,0.584,0.0,0.0,4.0,0.6809999999999999,6.8,2.0,0.9,0.9,2.1,2.2,11.3,1,1,0
Trey Burke,35.7,8.3,0.499,5.0,0.3670000000000001,4.0,0.777,3.3,5.7,1.3,0.5,2.5,1.7,16.9,0,0,1
D.J. Augustin,36.5,8.2,0.463,4.1,0.402,5.5,0.8079999999999999,2.9,6.2,1.4,0.0,3.0,1.9,16.9,0,0,1
Jarred Vanderbilt,17.0,4.8,0.433,0.1,0.0,2.7,0.632,7.9,1.0,0.4,0.8,1.1,2.6,5.9,0,1,0
Marcus Morris,24.0,7.3,0.585,1.1,0.358,4.3,0.66,6.2,1.3,0.9,0.4,1.6,2.6,12.6,0,1,0
Mason Plumlee,25.9,6.4,0.578,0.1,0.2,4.0,0.583,7.7,1.5,0.8,1.4,2.0,2.5,9.8,0,0,0
Aaron Holiday,31.8,6.2,0.469,4.2,0.422,3.9,0.795,3.2,4.7,1.2,0.2,3.0,2.7,14.3,0,0,1
Hassan Adams,27.8,9.7,0.535,1.9,0.311,2.7,0.7040000000000001,5.4,2.0,1.8,0.7,2.0,2.0,14.0,0,0,1
Rudy Gay,29.8,8.5,0.483,2.3,0.378,3.8,0.721,5.9,1.8,1.3,1.7,2.2,2.3,13.6,0,1,0
Andy Rautins,24.4,1.2,0.506,5.9,0.374,1.2,0.763,2.6,2.7,1.4,0.2,1.7,1.9,8.8,0,0,1
Tyshawn Taylor,27.7,5.7,0.518,2.2,0.37,3.5,0.708,2.2,3.9,1.2,0.2,2.6,2.1,10.8,0,0,1
Malik Beasley,29.8,7.4,0.518,4.2,0.387,3.8,0.813,5.3,1.5,0.9,0.2,1.7,2.2,15.6,0,0,1
Shane Larkin,31.3,4.6,0.491,4.0,0.375,2.7,0.8079999999999999,3.2,3.6,1.8,0.1,2.1,1.6,11.2,0,0,1
Brandon Bass,34.2,8.7,0.5539999999999999,0.8,0.378,5.8,0.78,8.2,0.7,0.8,1.8,1.8,2.2,15.1,0,1,0
Trey Thompkins,29.5,10.3,0.496,2.5,0.35700000000000004,3.8,0.7290000000000001,7.8,1.4,1.0,1.3,2.6,2.2,15.7,0,1,0
Jeff Withey,19.8,4.9,0.5670000000000001,0.0,1.0,3.3,0.726,5.4,0.6,0.5,2.7,1.2,1.8,8.0,0,0,0
Delon Wright,34.8,7.5,0.594,1.9,0.299,5.5,0.8140000000000001,5.8,5.2,2.3,1.1,2.2,1.6,15.0,0,0,1
Al-Farouq Aminu,30.1,8.9,0.522,1.7,0.238,5.7,0.687,9.4,1.4,1.2,1.3,2.9,2.8,14.4,0,1,0
Chandler Parsons,27.9,4.6,0.575,3.2,0.337,2.8,0.611,6.0,2.4,0.9,0.3,1.6,2.0,10.2,0,1,0
Frank Mason,30.0,6.2,0.471,3.0,0.42,4.4,0.7609999999999999,3.4,4.0,1.1,0.1,1.9,2.0,13.0,0,0,1
Anthony Bennett,27.1,8.1,0.5870000000000001,2.7,0.375,5.1,0.701,8.1,1.0,0.7,1.2,1.9,2.3,16.1,0,1,0
P.J. Hairston,18.1,2.9,0.458,5.1,0.349,2.5,0.8,3.2,1.0,0.8,0.3,0.9,1.7,10.0,0,0,1
Zach LaVine,24.4,4.3,0.494,3.5,0.375,1.8,0.691,2.5,1.8,0.9,0.2,1.1,2.0,9.4,0,0,1
Jayson Tatum,33.3,8.6,0.504,4.0,0.342,4.8,0.8490000000000001,7.3,2.1,1.3,1.1,2.6,3.0,16.8,0,1,0
Grayson Allen,27.9,4.5,0.49,5.4,0.38,4.2,0.8340000000000001,3.2,3.0,1.0,0.1,1.7,2.1,14.1,0,0,1
Hilton Armstrong,15.1,3.1,0.565,0.0,0.333,2.1,0.578,3.9,0.6,0.3,1.5,1.2,2.1,4.7,0,1,0
James Jones,27.5,6.3,0.444,2.7,0.383,3.0,0.831,5.0,1.2,1.1,1.6,1.5,2.1,11.1,0,1,0
Trevor Ariza,31.6,7.0,0.509,3.0,0.237,4.5,0.504,6.5,2.1,1.7,0.4,3.2,2.8,11.6,0,1,0
DaJuan Summers,27.6,4.2,0.522,4.1,0.353,3.4,0.727,4.4,1.3,1.0,0.6,2.2,2.4,11.2,0,1,0
Kosta Koufos,27.1,10.1,0.535,1.7,0.349,2.7,0.68,6.7,0.5,0.4,1.8,1.5,2.2,14.4,0,0,0
Demetris Nichols,25.8,4.4,0.493,4.7,0.358,2.1,0.752,4.1,1.1,1.0,0.8,1.5,2.0,10.9,0,1,0
Armon Johnson,32.7,9.2,0.514,2.4,0.289,3.7,0.75,3.7,4.4,0.8,0.2,2.7,1.7,14.3,0,0,1
Tyler Lydon,33.1,4.8,0.531,3.5,0.4,2.9,0.809,7.4,1.6,1.1,1.6,1.5,2.6,11.6,0,1,0
Norris Cole,29.4,8.0,0.48,3.1,0.321,4.2,0.826,3.2,3.3,1.5,0.1,2.0,2.2,14.1,0,0,1
Kyle O'Quinn,27.5,7.0,0.62,1.6,0.261,3.8,0.685,8.5,0.9,0.5,2.2,2.0,2.9,12.5,0,1,0
Jabari Bird,26.4,4.5,0.512,4.4,0.371,1.6,0.753,3.3,1.2,0.5,0.3,1.2,1.7,10.8,0,0,1
Stanley Johnson,28.4,7.2,0.478,3.1,0.371,4.7,0.742,6.5,1.7,1.5,0.4,2.2,2.6,13.8,0,1,0
Jrue Holiday,27.1,4.6,0.528,2.5,0.307,1.8,0.726,3.8,3.7,1.6,0.5,2.1,2.1,8.5,1,0,1
Isaiah Thomas,30.4,7.6,0.49,4.8,0.325,6.0,0.713,3.5,4.0,1.2,0.1,2.7,2.0,16.4,1,0,1
Monte Morris,33.8,6.7,0.517,2.9,0.381,2.6,0.78,3.7,5.5,1.6,0.3,1.2,1.5,12.2,0,0,1
Shabazz Muhammad,30.8,10.9,0.463,3.3,0.377,5.6,0.711,5.2,0.8,0.7,0.1,1.6,1.7,17.9,0,1,0
Archie Goodwin,31.8,8.9,0.478,1.9,0.266,6.4,0.637,4.6,2.7,1.1,0.5,3.1,2.9,14.1,0,0,1
Steven Hunter,24.6,6.8,0.589,0.0,0.0,3.2,0.6,4.7,0.4,0.2,2.0,1.6,2.2,9.9,0,0,0
Pierre Jackson,32.8,6.4,0.496,5.6,0.379,5.0,0.8079999999999999,3.3,6.5,1.6,0.0,3.5,2.3,16.7,0,0,1
