Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Kareem Rush,30.2,8.3,0.464,6.4,0.422,4.0,0.777,5.4,2.1,1.2,0.6,2.8,2.3,18.9,0,0,1
D'Angelo Russell,33.9,8.1,0.479,6.6,0.411,4.5,0.7559999999999999,5.7,5.0,1.6,0.3,2.9,2.1,19.3,1,0,1
Nick Fazekas,30.1,10.3,0.579,2.6,0.341,5.1,0.815,9.6,1.3,0.7,1.5,1.7,2.0,18.8,0,1,0
Terrence Williams,32.2,6.0,0.457,4.4,0.32,2.6,0.589,6.9,3.9,1.5,0.6,2.4,1.9,11.2,0,1,0
Cory Jefferson,19.9,5.7,0.556,0.4,0.34,3.3,0.66,5.6,0.4,0.3,1.3,0.8,1.7,8.9,0,1,0
Tyler Honeycutt,31.7,5.3,0.473,3.1,0.359,2.9,0.684,6.9,2.8,1.2,1.7,2.8,1.9,10.3,0,1,0
Blake Griffin,30.9,11.4,0.622,0.1,0.3,7.7,0.589,11.8,2.1,1.1,1.0,2.8,2.5,18.8,1,1,0
Noah Vonleh,26.5,6.1,0.53,1.1,0.485,4.5,0.716,9.0,0.6,0.9,1.4,2.1,2.7,11.3,0,1,0
Rasual Butler,38.3,9.6,0.447,7.1,0.359,3.7,0.8290000000000001,5.9,1.6,1.0,1.1,2.7,1.8,19.3,0,1,0
Darius Songaila,26.2,9.3,0.516,0.3,0.343,5.3,0.831,6.3,1.8,1.1,0.7,2.8,3.3,14.3,0,1,0
Karl-Anthony Towns,21.1,6.4,0.5770000000000001,0.2,0.25,3.4,0.813,6.7,1.1,0.5,2.3,1.4,2.9,10.3,1,0,0
Moritz Wagner,21.0,4.5,0.643,2.7,0.385,2.2,0.698,4.5,0.5,0.8,0.4,1.2,2.5,10.4,0,1,0
Darrun Hilliard,26.8,4.2,0.507,4.3,0.3670000000000001,3.2,0.748,3.0,1.9,1.3,0.4,1.6,2.1,11.4,0,0,1
Isaiah Canaan,29.4,5.2,0.483,5.5,0.419,4.5,0.8029999999999999,2.8,2.9,1.2,0.1,2.4,1.8,15.5,0,0,1
