Name,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,ALLSTAR,YEAR,PK,POS
Greivis Vasquez,136.0,123.0,33.6,5.5,13.0,0.425,3.8,7.9,0.48700000000000004,1.7,5.1,0.32899999999999996,3.2,3.9,0.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16.0,7.95,No,2010,28,Guard
Delonte West,89.0,56.0,26.8,5.1,10.3,0.489,3.8,7.0,0.544,1.3,3.4,0.377,2.5,3.0,0.831,1.0,3.2,4.2,3.0,1.4,0.2,2.0,1.9,13.9,4.0,No,2004,24,Guard
Damone Brown,113.0,34.0,29.2,4.3,8.7,0.49700000000000005,4.2,7.9,0.525,0.2,0.8,0.225,2.0,2.7,0.742,3.2,5.6,6.0,1.1,1.0,0.8,1.6,2.4,10.9,6.91,No,2001,37,Forward
Corey Brewer,108.0,106.0,27.2,4.0,8.2,0.48,3.0,5.7,0.536,0.9,2.6,0.35600000000000004,2.5,3.6,0.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3,6.65,No,2007,7,Forward
Quincy Douby,95.0,64.0,32.1,6.1,14.1,0.43200000000000005,3.5,7.3,0.473,2.6,6.8,0.389,2.9,3.6,0.82,0.7,2.2,2.9,2.7,1.3,0.7,2.2,1.8,17.8,6.93,No,2006,19,Guard
Jake Layman,141.0,115.0,27.9,3.4,7.7,0.445,2.0,3.8,0.53,1.4,3.9,0.36200000000000004,1.9,2.6,0.759,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,7.17,No,2016,47,Forward
Wesley Iwundu,132.0,123.0,28.2,3.2,6.9,0.46299999999999997,2.8,5.8,0.488,0.4,1.1,0.33799999999999997,2.6,3.8,0.688,1.2,3.5,4.7,2.8,0.9,0.4,2.1,2.1,9.5,9.51,No,2017,33,Forward
Zhaire Smith,37.0,21.0,28.4,4.2,7.5,0.556,3.7,6.4,0.574,0.5,1.1,0.45,2.5,3.4,0.7170000000000001,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,9.6,No,2018,16,Guard
Omari Spellman,40.0,39.0,28.1,4.0,8.4,0.47600000000000003,2.4,4.7,0.511,1.6,3.8,0.433,1.2,1.8,0.7,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,10.24,No,2018,30,Forward
Frank Kaminsky,144.0,79.0,20.4,3.7,7.0,0.522,3.0,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,9.61,No,2015,9,Forward
DeAndre Liggins,100.0,29.0,21.9,1.9,4.8,0.40700000000000003,1.3,2.9,0.455,0.6,1.9,0.332,1.3,2.0,0.643,0.5,2.5,3.0,2.1,0.9,0.5,1.5,1.9,5.8,6.85,No,2011,53,Guard
Bobby Simmons,93.0,28.0,31.6,4.3,10.1,0.428,3.0,6.2,0.49,1.3,3.9,0.331,3.6,4.6,0.7829999999999999,2.6,5.9,7.5,2.2,1.3,0.2,2.5,2.9,13.6,7.91,No,2001,42,Guard
Cameron Payne,69.0,69.0,32.4,6.3,14.6,0.43200000000000005,4.0,8.3,0.48700000000000004,2.3,6.3,0.359,3.7,4.7,0.7809999999999999,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,-3.19,No,2015,14,Guard
Gorgui Dieng,102.0,81.0,27.3,3.3,6.1,0.545,3.3,6.0,0.546,0.0,0.0,0.33299999999999996,1.7,2.7,0.64,3.0,4.9,7.9,1.2,1.0,2.6,1.6,2.7,8.3,8.78,No,2013,21,Center
Kawhi Leonard,70.0,69.0,31.9,5.4,12.0,0.449,4.8,9.7,0.49700000000000005,0.6,2.3,0.25,2.8,3.7,0.7440000000000001,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,5.29,Yes,2011,15,Forward
Victor Oladipo,104.0,75.0,24.6,3.9,7.3,0.5379999999999999,3.4,5.9,0.585,0.5,1.4,0.33799999999999997,2.5,3.5,0.716,2.0,3.2,5.2,1.7,1.5,0.5,2.0,2.4,10.7,7.94,Yes,2013,2,Guard
Derrick Brown,106.0,72.0,25.0,3.7,6.5,0.573,3.2,5.3,0.61,0.5,1.2,0.415,2.4,3.3,0.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,4.5,No,2009,40,Forward
Miles Bridges,62.0,60.0,31.6,6.2,13.2,0.47,4.2,7.8,0.537,2.0,5.5,0.375,2.5,3.2,0.7759999999999999,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0,8.8,No,2018,12,Guard
Bradley Beal,37.0,37.0,34.2,4.7,10.6,0.445,3.0,5.6,0.541,1.7,5.0,0.33899999999999997,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,7.33,Yes,2012,3,Guard
J.J. Hickson,31.0,26.0,28.7,5.3,8.9,0.591,5.3,8.9,0.593,0.0,0.0,0.0,4.3,6.3,0.677,2.6,5.9,8.5,1.0,0.7,1.5,2.7,1.9,14.8,9.06,No,2008,19,Forward
Solomon Jones,59.0,56.0,31.2,3.7,7.3,0.505,3.7,7.2,0.507,0.0,0.0,0.0,2.5,3.6,0.693,2.6,5.4,8.0,1.0,0.6,2.6,2.7,3.4,9.8,3.34,No,2006,33,Forward
Jason Maxiell,129.0,95.0,27.6,4.4,8.6,0.507,4.3,8.5,0.509,0.0,0.1,0.28600000000000003,3.4,5.2,0.653,2.8,4.3,7.0,0.7,0.7,1.9,1.5,2.6,12.1,6.76,No,2005,26,Forward
Josh Childress,86.0,57.0,28.6,4.5,10.2,0.43799999999999994,3.3,6.6,0.494,1.2,3.6,0.335,2.2,2.8,0.755,1.9,4.9,6.8,1.8,0.9,1.1,1.7,2.1,12.3,7.25,No,2004,6,Guard
Ramon Sessions,97.0,94.0,29.2,3.2,7.6,0.41700000000000004,2.9,6.7,0.43,0.3,0.8,0.313,2.2,3.0,0.74,1.0,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12,No,2007,56,Guard
Glen Davis,95.0,92.0,32.0,6.0,12.0,0.496,5.7,11.1,0.51,0.3,0.9,0.31,4.5,6.5,0.6940000000000001,3.8,5.8,9.6,1.5,1.1,1.2,2.4,2.6,16.7,7.99,No,2007,35,Forward
Sean Singletary,123.0,123.0,32.8,5.2,12.9,0.406,3.4,7.9,0.433,1.8,5.0,0.36200000000000004,4.7,5.5,0.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,2.7,16.9,7.98,No,2008,42,Guard
Dan Gadzuric,122.0,62.0,24.1,4.5,8.2,0.5479999999999999,4.5,8.2,0.5489999999999999,0.0,0.0,0.0,1.6,3.5,0.449,2.9,5.2,6.6,0.6,0.7,1.5,1.8,2.8,10.5,10.45,No,2002,34,Center
Xavier Henry,36.0,36.0,27.5,4.5,9.8,0.45799999999999996,2.6,5.3,0.49200000000000005,1.9,4.6,0.418,2.5,3.2,0.7829999999999999,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,8.25,No,2010,12,Guard
Andre Roberson,105.0,65.0,28.3,3.6,7.1,0.516,3.2,5.7,0.555,0.5,1.4,0.35,1.9,3.2,0.5820000000000001,2.9,7.0,10.0,1.1,1.6,1.4,1.7,2.6,9.6,6.43,No,2013,26,Guard
Jarrett Allen,33.0,33.0,32.2,5.4,9.6,0.5660000000000001,5.4,9.4,0.579,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75,No,2017,22,Center
Denzel Valentine,144.0,116.0,29.0,4.0,9.1,0.442,2.2,4.6,0.47600000000000003,1.8,4.5,0.408,1.5,2.0,0.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,9.21,No,2016,14,Guard
Draymond Green,145.0,66.0,25.0,3.7,8.0,0.467,3.1,6.3,0.496,0.6,1.7,0.361,2.3,3.4,0.687,2.0,5.6,7.6,2.9,1.2,0.8,1.9,2.7,10.5,9.75,Yes,2012,35,Forward
Jamal Murray,36.0,36.0,35.2,6.8,14.9,0.45399999999999996,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.7829999999999999,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,8.84,No,2016,7,Guard
Edmond Sumner,58.0,49.0,26.6,3.5,8.2,0.429,2.9,6.0,0.483,0.6,2.2,0.285,3.7,5.1,0.73,0.5,3.0,3.5,3.8,1.2,0.4,2.2,2.3,11.4,9.81,No,2017,52,Guard
Eddie Griffin,30.0,30.0,32.6,6.9,16.0,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.7340000000000001,3.1,7.6,10.8,1.6,0.9,4.4,2.2,2.4,17.8,6.03,No,2001,7,Forward
Malik Monk,38.0,37.0,32.1,6.6,14.7,0.45,3.9,7.8,0.49700000000000005,2.7,6.9,0.397,3.9,4.7,0.8220000000000001,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,10.49,No,2017,11,Guard
